#Sample	EFNA4	@Class	KLRG2	PLPP4
GSM494556	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494557	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494558	6.9444..7.4779	Case	-inf..6.4108	5.5735..inf
GSM494559	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494560	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494561	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494562	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494563	7.4779..inf	Case	6.4108..inf	5.5735..inf
GSM494564	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494565	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494566	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494567	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494568	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494569	6.9444..7.4779	Case	-inf..6.4108	5.0727..5.5735
GSM494570	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494571	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494572	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494573	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494574	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494575	7.4779..inf	Case	6.4108..inf	5.5735..inf
GSM494576	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494577	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494578	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494579	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494580	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494581	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494582	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494583	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494584	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494585	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494586	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494587	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494588	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494589	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494590	7.4779..inf	Case	6.4108..inf	5.5735..inf
GSM494591	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494592	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494593	7.4779..inf	Case	6.4108..inf	5.5735..inf
GSM494594	6.9444..7.4779	Case	-inf..6.4108	5.0727..5.5735
GSM494595	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494596	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494597	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494598	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494599	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494600	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494601	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494602	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494603	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494604	6.9444..7.4779	Case	-inf..6.4108	5.5735..inf
GSM494605	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494606	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494607	6.9444..7.4779	Case	-inf..6.4108	5.5735..inf
GSM494608	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494609	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494610	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494611	7.4779..inf	Case	-inf..6.4108	5.5735..inf
GSM494612	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494613	7.4779..inf	Case	6.4108..inf	5.0727..5.5735
GSM494614	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494615	7.4779..inf	Case	-inf..6.4108	5.0727..5.5735
GSM494616	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494617	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494618	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494619	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494620	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494621	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494622	-inf..6.9444	Control	-inf..6.4108	-inf..5.0727
GSM494623	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494624	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494625	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494626	6.9444..7.4779	Control	6.4108..inf	-inf..5.0727
GSM494627	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494628	-inf..6.9444	Control	-inf..6.4108	5.0727..5.5735
GSM494629	6.9444..7.4779	Control	6.4108..inf	-inf..5.0727
GSM494630	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494631	7.4779..inf	Control	6.4108..inf	-inf..5.0727
GSM494632	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494633	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494634	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494635	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494636	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494637	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494638	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494639	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494640	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494641	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494642	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494643	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494644	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494645	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494646	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494647	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494648	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494649	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494650	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494651	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494652	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494653	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494654	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494655	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494656	-inf..6.9444	Control	-inf..6.4108	5.0727..5.5735
GSM494657	7.4779..inf	Control	6.4108..inf	-inf..5.0727
GSM494658	-inf..6.9444	Control	-inf..6.4108	-inf..5.0727
GSM494659	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494660	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494661	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494662	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494663	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494664	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494665	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494666	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494667	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494668	-inf..6.9444	Control	6.4108..inf	-inf..5.0727
GSM494669	6.9444..7.4779	Control	6.4108..inf	5.0727..5.5735
GSM494670	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494671	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494672	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494673	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494674	-inf..6.9444	Control	6.4108..inf	5.0727..5.5735
GSM494675	-inf..6.9444	Control	-inf..6.4108	5.0727..5.5735
