#Sample	EFNA4	@Class	KLRG2	PLPP4
GSM494556	8.127	Case	5.9046	5.7077
GSM494557	7.7249	Case	6.2378	5.1109
GSM494558	6.959	Case	5.7217	7.5437
GSM494559	8.9966	Case	6.3381	5.5097
GSM494560	9.6309	Case	5.6335	7.5223
GSM494561	7.5719	Case	5.7907	5.4277
GSM494562	7.8865	Case	5.9393	6.3646
GSM494563	9.0932	Case	7.251	9.2865
GSM494564	8.7297	Case	5.3362	7.0777
GSM494565	9.0278	Case	5.533	9.01
GSM494566	7.8815	Case	6.2546	6.8397
GSM494567	8.7821	Case	6.1875	5.6857
GSM494568	8.3233	Case	5.769	6.5562
GSM494569	7.2494	Case	6.3649	5.0987
GSM494570	8.3048	Case	5.9306	7.3811
GSM494571	7.9383	Case	6.0094	5.5974
GSM494572	7.5833	Case	6.231	5.3629
GSM494573	9.3335	Case	6.0359	6.7947
GSM494574	8.3332	Case	6.27	8.0358
GSM494575	8.2386	Case	7.0578	5.732
GSM494576	9.0411	Case	5.9083	5.3112
GSM494577	9.1958	Case	5.8093	8.1646
GSM494578	8.6951	Case	5.9437	5.1227
GSM494579	8.9746	Case	5.6657	8.6467
GSM494580	7.5116	Case	6.2919	5.5958
GSM494581	8.7767	Case	7.229	5.3223
GSM494582	7.9242	Case	6.3539	5.1965
GSM494583	9.1511	Case	6.163	8.3691
GSM494584	8.6866	Case	6.0529	6.8649
GSM494585	8.8249	Case	6.5979	5.2674
GSM494586	8.8773	Case	6.2867	5.4254
GSM494587	7.8859	Case	5.933	5.8335
GSM494588	9.1198	Case	5.6139	6.7056
GSM494589	9.4563	Case	5.9041	9.0436
GSM494590	7.509	Case	6.4758	6.7009
GSM494591	8.9542	Case	6.3012	5.2285
GSM494592	7.6514	Case	6.5204	5.1227
GSM494593	8.9978	Case	6.6788	5.8516
GSM494594	7.3035	Case	6.3908	5.2827
GSM494595	8.1241	Case	6.3626	9.1238
GSM494596	7.8621	Case	6.5915	5.529
GSM494597	8.1044	Case	6.1284	6.9831
GSM494598	8.0754	Case	5.8983	5.7237
GSM494599	8.0919	Case	5.9382	5.2567
GSM494600	8.8161	Case	6.0798	8.2182
GSM494601	8.1799	Case	6.6054	5.3151
GSM494602	9.0836	Case	6.3618	5.6716
GSM494603	9.2947	Case	6.1837	8.2245
GSM494604	7.1703	Case	6.0086	6.8181
GSM494605	7.5795	Case	7.4018	5.3706
