#Sample	C2CD6	@Class	EFNA4	EGFR	KLRG2
GSM494556	3.7094	Case	8.127	9.3798	5.9046
GSM494557	3.7401	Case	7.7249	13.622	6.2378
GSM494558	4.0788	Case	6.959	11.0295	5.7217
GSM494559	3.5507	Case	8.9966	9.6947	6.3381
GSM494560	3.9875	Case	9.6309	11.3592	5.6335
GSM494561	3.6451	Case	7.5719	7.9109	5.7907
GSM494562	3.6114	Case	7.8865	13.3132	5.9393
GSM494563	3.7191	Case	9.0932	9.2259	7.251
GSM494564	3.654	Case	8.7297	8.011	5.3362
GSM494565	3.5435	Case	9.0278	10.3325	5.533
GSM494566	4.319	Case	7.8815	10.8773	6.2546
GSM494567	4.0159	Case	8.7821	10.3905	6.1875
GSM494568	3.7585	Case	8.3233	10.7139	5.769
GSM494569	3.7908	Case	7.2494	11.5144	6.3649
GSM494570	3.6288	Case	8.3048	9.0835	5.9306
GSM494571	7.4323	Case	7.9383	11.7318	6.0094
GSM494572	3.7655	Case	7.5833	10.6456	6.231
GSM494573	6.5558	Case	9.3335	9.1083	6.0359
GSM494574	3.5214	Case	8.3332	9.7521	6.27
GSM494575	3.4179	Case	8.2386	11.0396	7.0578
GSM494576	4.5662	Case	9.0411	11.0775	5.9083
GSM494577	3.5374	Case	9.1958	12.6954	5.8093
GSM494578	3.7011	Case	8.6951	12.074	5.9437
GSM494579	3.5122	Case	8.9746	11.6565	5.6657
GSM494580	3.6551	Case	7.5116	10.4168	6.2919
GSM494581	3.6325	Case	8.7767	10.9215	7.229
GSM494582	3.6553	Case	7.9242	9.5329	6.3539
GSM494583	3.6703	Case	9.1511	11.0794	6.163
GSM494584	3.9287	Case	8.6866	10.935	6.0529
GSM494585	3.6274	Case	8.8249	12.762	6.5979
GSM494586	3.5738	Case	8.8773	9.8929	6.2867
GSM494587	3.784	Case	7.8859	11.1055	5.933
GSM494588	3.8448	Case	9.1198	8.4518	5.6139
GSM494589	3.9169	Case	9.4563	10.1925	5.9041
GSM494590	3.5365	Case	7.509	10.9119	6.4758
GSM494591	3.6347	Case	8.9542	11.4808	6.3012
GSM494592	4.4283	Case	7.6514	9.2439	6.5204
GSM494593	4.2977	Case	8.9978	10.3204	6.6788
GSM494594	3.4805	Case	7.3035	10.8329	6.3908
GSM494595	3.8593	Case	8.1241	13.6659	6.3626
GSM494596	3.6048	Case	7.8621	13.2437	6.5915
GSM494597	3.7697	Case	8.1044	12.1601	6.1284
GSM494598	3.7123	Case	8.0754	12.2698	5.8983
GSM494599	3.6303	Case	8.0919	11.3017	5.9382
GSM494600	4.2341	Case	8.8161	9.7652	6.0798
GSM494601	3.5923	Case	8.1799	11.0241	6.6054
GSM494602	3.8251	Case	9.0836	10.8778	6.3618
GSM494603	3.9644	Case	9.2947	10.4799	6.1837
GSM494604	3.8533	Case	7.1703	10.8354	6.0086
GSM494605	3.8126	Case	7.5795	8.952	7.4018
GSM494606	4.4672	Case	8.4097	11.0908	6.3302
GSM494607	3.9629	Case	7.0126	8.9089	6.1235
GSM494608	3.8152	Case	8.4426	11.5421	6.7165
GSM494609	3.6721	Case	8.6013	10.5817	7.1286
GSM494610	3.9233	Case	7.8666	12.8867	6.1988
GSM494611	3.6254	Case	8.1875	9.7823	6.3531
GSM494612	3.6082	Case	7.8709	8.8782	6.4772
GSM494613	3.4301	Case	7.7119	11.8103	6.7725
GSM494614	3.7	Case	8.9965	12.958	5.6857
GSM494615	3.5191	Case	7.8225	10.8687	6.1923
GSM494616	3.7892	Control	6.8757	10.8844	6.8513
GSM494617	3.8395	Control	6.9091	10.7431	6.7376
GSM494618	3.8382	Control	6.6205	11.4884	7.3337
GSM494619	3.47	Control	6.3195	8.659	7.806
GSM494620	3.7163	Control	6.3699	9.1172	7.6789
GSM494621	3.4181	Control	6.4088	8.6617	6.9602
GSM494622	3.626	Control	6.8904	9.8906	6.1736
GSM494623	3.7204	Control	5.7346	8.6107	6.598
GSM494624	3.4548	Control	6.3797	7.8628	7.2437
GSM494625	3.5612	Control	6.4979	9.0969	7.1203
GSM494626	3.7449	Control	7.0938	10.7849	7.0367
GSM494627	3.7228	Control	6.5134	10.92	6.4599
GSM494628	3.872	Control	6.5332	10.4359	6.3475
GSM494629	3.6634	Control	7.4468	11.4277	6.489
GSM494630	3.5452	Control	7.4009	8.7862	8.1273
GSM494631	4.0755	Control	8.2867	11.8091	6.4707
GSM494632	3.5918	Control	6.5277	10.5184	7.3952
GSM494633	3.7166	Control	6.8329	8.9568	7.6178
GSM494634	3.3824	Control	6.9718	9.1262	6.914
GSM494635	3.3746	Control	7.3704	9.7318	6.6025
GSM494636	3.5828	Control	6.1701	11.1711	6.7067
GSM494637	3.5291	Control	6.7544	10.9193	7.0837
GSM494638	3.5507	Control	7.169	10.567	6.8011
GSM494639	3.3832	Control	6.4822	10.3649	7.0258
GSM494640	3.5445	Control	6.6762	10.385	7.2739
GSM494641	3.6206	Control	6.833	9.9844	7.5446
GSM494642	3.8538	Control	6.6624	9.7532	7.7228
GSM494643	3.5167	Control	6.6001	9.7292	6.9644
GSM494644	3.5775	Control	6.9264	9.929	7.0214
GSM494645	3.3912	Control	6.0059	10.2261	7.4474
GSM494646	3.5232	Control	6.6065	10.4183	7.3537
GSM494647	3.4972	Control	6.2025	10.3817	7.0344
GSM494648	3.4832	Control	7.0383	8.1314	7.4087
GSM494649	3.6138	Control	6.7482	8.7112	7.7572
GSM494650	3.4083	Control	5.5671	9.9981	6.4308
GSM494651	3.5344	Control	6.1813	10.4952	7.2839
